# h/a,X_tt,Y_tt
0.31500000,40.31242035,20.15621018
0.31600000,40.05767964,20.02883982
0.31700000,39.80535240,19.90267620
0.31800000,39.55539786,19.77769893
0.31900000,39.30778983,19.65389491
0.32000000,39.06250235,19.53125118
0.32100000,38.81949659,19.40974829
0.32200000,38.57875746,19.28937873
0.32300000,38.34024713,19.17012357
0.32400000,38.10394776,19.05197388
0.32500000,37.86982575,18.93491288
0.32600000,37.63784822,18.81892411
0.32700000,37.40800142,18.70400071
0.32800000,37.18024713,18.59012356
0.32900000,36.95457509,18.47728754
0.33000000,36.73094213,18.36547106
0.33100000,36.50934142,18.25467071
0.33200000,36.28973964,18.14486982
0.33300000,36.07210712,18.03605356
0.33400000,35.85643456,17.92821728
0.33500000,35.64268167,17.82134084
0.33600000,35.43084238,17.71542119
0.33700000,35.22087748,17.61043874
0.33800000,35.01278116,17.50639058
0.33900000,34.80652326,17.40326163
0.34000000,34.60207431,17.30103716
0.34100000,34.39943148,17.19971574
0.34200000,34.19855549,17.09927775
0.34300000,33.99944117,16.99972058
0.34400000,33.80205285,16.90102642
0.34500000,33.60638560,16.80319280
0.34600000,33.41241204,16.70620602
0.34700000,33.22010784,16.61005392
0.34800000,33.02946353,16.51473177
0.34900000,32.84045292,16.42022646
0.35000000,32.65306211,16.32653105
0.35100000,32.46726798,16.23363399
0.35200000,32.28305934,16.14152967
0.35300000,32.10041363,16.05020682
0.35400000,31.91930653,15.95965326
0.35500000,31.73973634,15.86986817
0.35600000,31.56167251,15.78083626
0.35700000,31.38510479,15.69255240
0.35800000,31.21001003,15.60500501
0.35900000,31.03638461,15.51819231
0.36000000,30.86419743,15.43209872
0.36100000,30.69344305,15.34672153
0.36200000,30.52410354,15.26205177
0.36300000,30.35615317,15.17807658
0.36400000,30.18959088,15.09479544
0.36500000,30.02439345,15.01219672
0.36600000,29.86055190,14.93027595
0.36700000,29.69804558,14.84902279
0.36800000,29.53686197,14.76843098
0.36900000,29.37699053,14.68849527
0.37000000,29.21840579,14.60920290
0.37100000,29.06110889,14.53055445
0.37200000,28.90507668,14.45253834
0.37300000,28.75029746,14.37514873
0.37400000,28.59675608,14.29837804
0.37500000,28.44444470,14.22222235
0.37600000,28.29334845,14.14667422
0.37700000,28.14344745,14.07172373
0.37800000,27.99473952,13.99736976
0.37900000,27.84720176,13.92360088
0.38000000,27.70083209,13.85041604
0.38100000,27.55560982,13.77780491
