# h/a,X_tt,Y_tt
0.66500000,8.47677842,3.08859399
0.66600000,8.45543530,3.08244824
0.66700000,8.43418815,3.07633188
0.66800000,8.41303073,3.07024206
0.66900000,8.39197797,3.06418290
0.67000000,8.37101923,3.05815286
0.67100000,8.35015329,3.05215011
0.67200000,8.32938746,3.04617771
0.67300000,8.30870830,3.04023091
0.67400000,8.28812554,3.03431343
0.67500000,8.26762170,3.02841927
0.67600000,8.24722503,3.02255758
0.67700000,8.22692043,3.01672301
0.67800000,8.20670375,3.01091538
0.67900000,8.18658147,3.00513545
0.68000000,8.16654007,2.99937989
0.68100000,8.14659772,2.99365388
0.68200000,8.12673050,2.98795095
0.68300000,8.10695879,2.98227564
0.68400000,8.08727674,2.97662807
0.68500000,8.06768375,2.97100711
0.68600000,8.04817693,2.96541198
0.68700000,8.02875403,2.95984095
0.68800000,8.00941339,2.95429572
0.68900000,7.99016122,2.94877704
0.69000000,7.97099803,2.94328440
0.69100000,7.95191656,2.93781674
0.69200000,7.93291849,2.93237357
0.69300000,7.91400824,2.92695686
0.69400000,7.89516549,2.92156072
0.69500000,7.87641933,2.91619340
0.69600000,7.85775657,2.91085083
0.69700000,7.83917017,2.90553164
0.69800000,7.82066559,2.90023599
0.69900000,7.80224655,2.89496668
0.70000000,7.78390770,2.88972146
0.70100000,7.76563473,2.88449609
0.70200000,7.74744841,2.87929599
0.70300000,7.72934812,2.87412243
0.70400000,7.71132073,2.86897032
0.70500000,7.69337411,2.86384241
0.70600000,7.67550670,2.85873796
0.70700000,7.65771231,2.85365597
0.70800000,7.63998794,2.84859486
0.70900000,7.62234542,2.84355763
0.71000000,7.60478522,2.83854582
0.71100000,7.58729412,2.83355391
0.71200000,7.56988228,2.82858626
0.71300000,7.55254418,2.82364048
0.71400000,7.53528132,2.81871727
0.71500000,7.51808331,2.81381369
0.71600000,7.50096363,2.80893352
0.71700000,7.48392370,2.80407743
0.71800000,7.46695122,2.79924167
0.71900000,7.45005264,2.79442667
0.72000000,7.43321872,2.78963204
0.72100000,7.41646264,2.78486118
0.72200000,7.39977617,2.78011042
0.72300000,7.38316462,2.77538259
0.72400000,7.36661890,2.77067405
0.72500000,7.35014481,2.76598764
0.72600000,7.33374235,2.76132188
0.72700000,7.31739742,2.75667343
0.72800000,7.30113127,2.75204911
